============================================================
Downloading Complete Jastrow Dictionary from Sefaria
Using sequential traversal via "next" links
============================================================

Starting from: Jastrow, א
[0.1%] #16: "Jastrow, אָבֵד"... duplicate
[0.1%] #16: "Jastrow, אַבְדָּא"... OK (אבדא)
[0.1%] #17: "Jastrow, אֲבֵדָה"... OK (אבדה)
[0.1%] #18: "Jastrow, אֶבְדּוּמָא"... OK (אבדומא)
[0.1%] #19: "Jastrow, אבדומא"... duplicate
[0.1%] #19: "Jastrow, אבדימי"... OK (אבדימי)
[0.1%] #20: "Jastrow, אֲבַדּוֹן"... OK (אבדון)
[0.1%] #21: "Jastrow, אֶבְדּוֹקוֹס"... OK (אבדוקוס)
[0.1%] #22: "Jastrow, אֶבְדִּימָא"... OK (אבדימא)
[0.1%] #23: "Jastrow, אֶבְדִּימוֹס"... OK (אבדימוס)
[0.1%] #24: "Jastrow, אַבְדָּלָה"... OK (אבדלה)
[0.1%] #25: "Jastrow, אַבְדָּן"... OK (אבדן)
[0.1%] #26: "Jastrow, אָבְדָּן"... duplicate
[0.1%] #26: "Jastrow, אַבְדָּנָא"... OK (אבדנא)
[0.1%] #27: "Jastrow, אֲבֵדְתָּא"... OK (אבדתא)
[0.1%] #28: "Jastrow, אבדתא"... duplicate
[0.1%] #28: "Jastrow, אַבָּה"... OK (אבה)
[0.1%] #29: "Jastrow, אָבָה"... duplicate
[0.1%] #29: "Jastrow, אַבָּהוּ"... OK (אבהו)
[0.1%] #30: "Jastrow, אבהנוס"... OK (אבהנוס)
[0.1%] #31: "Jastrow, אֲבָהָתָא"... OK (אבהתא)
[0.1%] #32: "Jastrow, אבהתא"... duplicate
[0.1%] #32: "Jastrow, אִבּוּ"... OK (אבו)
[0.1%] #33: "Jastrow, אִיבּוּב"... OK (איבוב)
[0.1%] #34: "Jastrow, אַבּוּב"... OK (אבוב)
[0.1%] #35: "Jastrow, אַבּוּבְרָאֶה"... OK (אבובראה)
[0.1%] #36: "Jastrow, אַבּוּבְרָם"... OK (אבוברם)
[0.1%] #37: "Jastrow, אִבּוּד"... OK (אבוד)
[0.1%] #38: "Jastrow, אבוד"... duplicate
[0.1%] #38: "Jastrow, אַבּוּדְיָינָא"... OK (אבודיינא)
[0.1%] #39: "Jastrow, אֲבוּדְמָא"... OK (אבודמא)
[0.1%] #40: "Jastrow, אבוורנקא"... OK (אבוורנקא)
[0.1%] #41: "Jastrow, *אֵבוּז"... OK (אבוז)
[0.1%] #42: "Jastrow, אֲבוֹי"... OK (אבוי)
[0.1%] #43: "Jastrow, אֲבוּיָה"... OK (אבויה)
[0.1%] #44: "Jastrow, אבויין"... OK (אבויין)
[0.1%] #45: "Jastrow, אִבּוּל I"... OK (אבול)
[0.1%] #46: "Jastrow, אִבּוּל II"... duplicate
[0.1%] #46: "Jastrow, אִבּוּלָא"... OK (אבולא)
[0.2%] #47: "Jastrow, *אִבּוּלָאֵי"... OK (אבולאי)
[0.2%] #48: "Jastrow, אבולי"... OK (אבולי)
[0.2%] #49: "Jastrow, אבולין"... OK (אבולין)
[0.2%] #50: "Jastrow, אַבּוּן"... OK (אבון)
[0.2%] #51: "Jastrow, אֲבוּנָא"... OK (אבונא)
[0.2%] #52: "Jastrow, אבונגרי"... OK (אבונגרי)
[0.2%] #53: "Jastrow, אֵבוּס"... OK (אבוס)
[0.2%] #54: "Jastrow, אֲבוּקָא"... OK (אבוקא)
[0.2%] #55: "Jastrow, אֲבוּקָה"... OK (אבוקה)
[0.2%] #56: "Jastrow, *אַבּוּרְגְּנָא"... OK (אבורגנא)
[0.2%] #57: "Jastrow, אבורנקי"... OK (אבורנקי)
[0.2%] #58: "Jastrow, אבזייני"... OK (אבזייני)
[0.2%] #59: "Jastrow, אַבְזָקַת"... OK (אבזקת)
[0.2%] #60: "Jastrow, אֲבִזְרָא"... OK (אבזרא)
[0.2%] #61: "Jastrow, אבחטס"... OK (אבחטס)
[0.2%] #62: "Jastrow, אבטא"... OK (אבטא)
[0.2%] #63: "Jastrow, *אַבְטָא"... duplicate
[0.2%] #63: "Jastrow, אבטו"... OK (אבטו)
[0.2%] #64: "Jastrow, אַבְטוֹלוֹס"... OK (אבטולוס)
[0.2%] #65: "Jastrow, אַבְטוֹלְמוֹס"... OK (אבטולמוס)
[0.2%] #66: "Jastrow, אַבְטוֹמְטוֹס"... OK (אבטומטוס)
[0.2%] #67: "Jastrow, *אַבְטוֹנִיּוֹת"... OK (אבטוניות)
[0.2%] #68: "Jastrow, אַבְטַח"... OK (אבטח)
[0.2%] #69: "Jastrow, אַבְטָחָה"... OK (אבטחה)
[0.2%] #70: "Jastrow, אַבְּטַי"... OK (אבטי)
[0.2%] #71: "Jastrow, אַבְּטִי"... duplicate
[0.2%] #71: "Jastrow, *אבטיגא"... OK (אבטיגא)
[0.2%] #72: "Jastrow, *אָבְטְיוֹנָא"... OK (אבטיונא)
[0.2%] #73: "Jastrow, אֲבַטִּיחַ"... OK (אבטיח)
  [Saved progress: 73 entries]
[0.2%] #74: "Jastrow, אֲבַטִּיחָא"... OK (אבטיחא)
[0.2%] #75: "Jastrow, אבטילאות"... OK (אבטילאות)
[0.3%] #76: "Jastrow, אַבְטִילוֹס"... OK (אבטילוס)
[0.3%] #77: "Jastrow, אַבְטִינָס"... OK (אבטינס)
[0.3%] #78: "Jastrow, אַבְטָלָה"... OK (אבטלה)
[0.3%] #79: "Jastrow, אַבְטַלְיוֹן"... OK (אבטליון)
[0.3%] #80: "Jastrow, אבטניות"... OK (אבטניות)
[0.3%] #81: "Jastrow, אָבֵי"... OK (אבי)
[0.3%] #82: "Jastrow, אביא"... OK (אביא)
[0.3%] #83: "Jastrow, אָבִיב"... OK (אביב)
[0.3%] #84: "Jastrow, אָבִיב ²"... duplicate
[0.3%] #84: "Jastrow, אֲבֵידָה"... OK (אבידה)
[0.3%] #85: "Jastrow, אֲבֵידָן"... OK (אבידן)
[0.3%] #86: "Jastrow, אֲבִידַרְנָא"... OK (אבידרנא)
[0.3%] #87: "Jastrow, אֲבֵידְתָּא"... OK (אבידתא)
[0.3%] #88: "Jastrow, אביה"... OK (אביה)
[0.3%] #89: "Jastrow, אַבְיוּ"... OK (אביו)
[0.3%] #90: "Jastrow, אֶבְיוֹן"... OK (אביון)
[0.3%] #91: "Jastrow, אֲבִיּוֹנָה"... OK (אביונה)
[0.3%] #92: "Jastrow, אֶבְיוֹנָה"... duplicate
[0.3%] #92: "Jastrow, אֶבְיוֹנוּת"... OK (אביונות)
[0.3%] #93: "Jastrow, *אֶבְיוֹנֵי"... OK (אביוני)
[0.3%] #94: "Jastrow, אֲבִיזְרָא"... OK (אביזרא)
[0.3%] #95: "Jastrow, אַבַּיִּי"... OK (אביי)
[0.3%] #96: "Jastrow, אַבָּיִי"... duplicate
[0.3%] #96: "Jastrow, אבייא"... OK (אבייא)
[0.3%] #97: "Jastrow, אַבָּיָיה"... OK (אבייה)
[0.3%] #98: "Jastrow, אביינוס"... OK (אביינוס)
[0.3%] #99: "Jastrow, אביך"... OK (אביך)
[0.3%] #100: "Jastrow, אֲבֵיל"... OK (אביל)
[0.3%] #101: "Jastrow, אָבֵיל"... duplicate
[0.3%] #101: "Jastrow, אֲבֵילָה"... OK (אבילה)
[0.3%] #102: "Jastrow, אֲבֵילוּ"... OK (אבילו)
[0.3%] #103: "Jastrow, אֲבֵילוּת"... OK (אבילות)
[0.3%] #104: "Jastrow, אֲבֵילוּתָא"... OK (אבילותא)
[0.3%] #105: "Jastrow, אֲבֵילִין"... OK (אבילין)
[0.4%] #106: "Jastrow, אַבִּימִי"... OK (אבימי)
[0.4%] #107: "Jastrow, אַבִּין"... OK (אבין)
[0.4%] #108: "Jastrow, אַבִּינָא"... OK (אבינא)
[0.4%] #109: "Jastrow, אביסנא"... OK (אביסנא)
[0.4%] #110: "Jastrow, *אָבִיק"... OK (אביק)
[0.4%] #111: "Jastrow, אֲבֵיק"... duplicate
[0.4%] #111: "Jastrow, אֲבִיקָה"... OK (אביקה)
[0.4%] #112: "Jastrow, אביקלוס"... OK (אביקלוס)
[0.4%] #113: "Jastrow, אַבִּיר"... OK (אביר)
[0.4%] #114: "Jastrow, אבירודימוס"... OK (אבירודימוס)
[0.4%] #115: "Jastrow, אֲבִירָם"... OK (אבירם)
[0.4%] #116: "Jastrow, אֲבִישְׁנָא"... OK (אבישנא)
[0.4%] #117: "Jastrow, אַבְיַת"... OK (אבית)
[0.4%] #118: "Jastrow, אֶבְיָתָר"... OK (אביתר)
[0.4%] #119: "Jastrow, אָבַךְ"... OK (אבך)
[0.4%] #120: "Jastrow, *אַבָּכָא"... OK (אבכא)
[0.4%] #121: "Jastrow, אֲבָל"... OK (אבל)
[0.4%] #122: "Jastrow, אָבֵל I"... duplicate
[0.4%] #122: "Jastrow, אָבֵל II"... duplicate
[0.4%] #122: "Jastrow, אָבֵל III"... duplicate
[0.4%] #122: "Jastrow, אֲבֵל"... duplicate
[0.4%] #122: "Jastrow, אֵבֶל"... duplicate
[0.4%] #122: "Jastrow, אֻבָל"... duplicate
[0.4%] #122: "Jastrow, אֲבֵלָא"... OK (אבלא)
[0.4%] #123: "Jastrow, אֶבְלָא"... duplicate
[0.4%] #123: "Jastrow, אֶבְלוּ"... OK (אבלו)
[0.4%] #124: "Jastrow, אבלומוס"... OK (אבלומוס)
[0.4%] #125: "Jastrow, *אבלונים"... OK (אבלונים)
[0.4%] #126: "Jastrow, *אַבְלוּסְמוֹס"... OK (אבלוסמוס)
[0.4%] #127: "Jastrow, *אַבְלוֹשֵׁי"... OK (אבלושי)
[0.4%] #128: "Jastrow, אַבְלֵט"... OK (אבלט)
[0.4%] #129: "Jastrow, *אבליג"... OK (אבליג)
[0.4%] #130: "Jastrow, *אַבְלִינָא"... OK (אבלינא)
[0.4%] #131: "Jastrow, *אַבְלַס"... OK (אבלס)
[0.4%] #132: "Jastrow, אֶבְמוֹסוֹס"... OK (אבמוסוס)
[0.4%] #133: "Jastrow, אֶבְמָכוֹס"... OK (אבמכוס)
[0.4%] #134: "Jastrow, אֶבֶן"... OK (אבן)
[0.4%] #135: "Jastrow, אֶבֶן ²"... duplicate
[0.4%] #135: "Jastrow, אֹבֶן"... duplicate
[0.4%] #135: "Jastrow, אַבְנָא"... OK (אבנא)
[0.4%] #136: "Jastrow, אבנגר"... OK (אבנגר)
[0.5%] #137: "Jastrow, אַבְנֵט"... OK (אבנט)
[0.5%] #138: "Jastrow, אַבְנִימוֹס"... OK (אבנימוס)
[0.5%] #139: "Jastrow, *אבניתא"... OK (אבניתא)
[0.5%] #140: "Jastrow, אֲבַנְתָּא"... OK (אבנתא)
[0.5%] #141: "Jastrow, אָבַס"... OK (אבס)
[0.5%] #142: "Jastrow, אֲבַסְקַנְטָה"... OK (אבסקנטה)
[0.5%] #143: "Jastrow, אַבֵּעַ"... OK (אבע)
[0.5%] #144: "Jastrow, אֲבַעְבּוּעִין"... OK (אבעבועין)
[0.5%] #145: "Jastrow, אַבְעַד"... OK (אבעד)
[0.5%] #146: "Jastrow, אַבְעָיָה"... OK (אבעיה)
[0.5%] #147: "Jastrow, אֲבָצָא"... OK (אבצא)
[0.5%] #148: "Jastrow, אָבָק"... OK (אבק)
[0.5%] #149: "Jastrow, אָבַק"... duplicate
[0.5%] #149: "Jastrow, אֲבַק"... duplicate
[0.5%] #149: "Jastrow, אָבָק ²"... duplicate
[0.5%] #149: "Jastrow, אבק"... duplicate
[0.5%] #149: "Jastrow, אַבְקָא"... OK (אבקא)
[0.5%] #150: "Jastrow, אבקאות"... OK (אבקאות)
[0.5%] #151: "Jastrow, אֲבָקָה"... OK (אבקה)
[0.5%] #152: "Jastrow, אֶבְקוֹלָס"... OK (אבקולס)
[0.5%] #153: "Jastrow, אבקת"... OK (אבקת)
[0.5%] #154: "Jastrow, אַבְקָתָא"... OK (אבקתא)
[0.5%] #155: "Jastrow, אבר"... OK (אבר)
  [Saved progress: 155 entries]
[0.5%] #156: "Jastrow, אָבַר"... duplicate
[0.5%] #156: "Jastrow, אֲבַר"... duplicate
[0.5%] #156: "Jastrow, אֵבֶר"... duplicate
[0.5%] #156: "Jastrow, אֲבָר"... duplicate
[0.5%] #156: "Jastrow, אֲבָר ²"... duplicate
[0.5%] #156: "Jastrow, אֵבְרָא"... OK (אברא)
[0.5%] #157: "Jastrow, אִבְרָא"... duplicate
[0.5%] #157: "Jastrow, *אַבָּרָא"... duplicate
[0.5%] #157: "Jastrow, אַבְרָאִי"... OK (אבראי)
[0.5%] #158: "Jastrow, אברגני"... OK (אברגני)
[0.5%] #159: "Jastrow, אַבְרוּיֵי"... OK (אברויי)
[0.5%] #160: "Jastrow, אַבְרַוְורֵי"... OK (אברוורי)
[0.5%] #161: "Jastrow, אִבְרוֹטִי"... OK (אברוטי)
[0.5%] #162: "Jastrow, אברוכסים"... OK (אברוכסים)
[0.5%] #163: "Jastrow, אברומא"... OK (אברומא)
[0.5%] #164: "Jastrow, *אִבְרוֹסִי"... OK (אברוסי)
[0.5%] #165: "Jastrow, אברוקלון"... OK (אברוקלון)
[0.5%] #166: "Jastrow, אַבְרוּרֵי"... OK (אברורי)
[0.6%] #167: "Jastrow, *אַבְרוֹשַׁךְ"... OK (אברושך)
[0.6%] #168: "Jastrow, *אַבְרוֹת"... OK (אברות)
[0.6%] #169: "Jastrow, *אֲבִרְזִין"... OK (אברזין)
[0.6%] #170: "Jastrow, *אַבְרְיָיאָה"... OK (אברייאה)
[0.6%] #171: "Jastrow, אַבְרִיקִין"... OK (אבריקין)
[0.6%] #172: "Jastrow, אברית"... OK (אברית)
[0.6%] #173: "Jastrow, אַבְרֵךְ"... OK (אברך)
[0.6%] #174: "Jastrow, *אֵבְרָנִי"... OK (אברני)
[0.6%] #175: "Jastrow, *אֲבַרְנִים"... OK (אברנים)
[0.6%] #176: "Jastrow, אַבְרַנְסֵי"... OK (אברנסי)
[0.6%] #177: "Jastrow, אברסקין"... OK (אברסקין)
[0.6%] #178: "Jastrow, אַבְרְקִין"... OK (אברקין)
[0.6%] #179: "Jastrow, אַבְרָתָא"... OK (אברתא)
[0.6%] #180: "Jastrow, אַבְשׁוּנָא"... OK (אבשונא)
[0.6%] #181: "Jastrow, אֻבְשִׁין"... OK (אבשין)
[0.6%] #182: "Jastrow, אָגָא"... OK (אגא)
[0.6%] #183: "Jastrow, אגאלוגין"... OK (אגאלוגין)
[0.6%] #184: "Jastrow, אַגַּב"... OK (אגב)
[0.6%] #185: "Jastrow, אַגַּבָּא"... OK (אגבא)
[0.6%] #186: "Jastrow, אגבאסטס"... OK (אגבאסטס)
[0.6%] #187: "Jastrow, *אַגְבִּין"... OK (אגבין)
[0.6%] #188: "Jastrow, אָגַד I"... OK (אגד)
[0.6%] #189: "Jastrow, אֲגַד I"... duplicate
[0.6%] #189: "Jastrow, אָגַד II"... duplicate
[0.6%] #189: "Jastrow, אֲגַד II"... duplicate
[0.6%] #189: "Jastrow, אֲגַד III"... duplicate
[0.6%] #189: "Jastrow, אֵגֶד"... duplicate
[0.6%] #189: "Jastrow, אֵגֶד ²"... duplicate
[0.6%] #189: "Jastrow, אַגְדָּא"... OK (אגדא)
[0.6%] #190: "Jastrow, אַגָּדָה"... OK (אגדה)
[0.6%] #191: "Jastrow, אֲגֻדָּה"... duplicate
[0.6%] #191: "Jastrow, אגדו"... OK (אגדו)
[0.6%] #192: "Jastrow, אגדיס"... OK (אגדיס)
[0.6%] #193: "Jastrow, אֶגְדִּיקוֹס"... OK (אגדיקוס)
[0.6%] #194: "Jastrow, אַגְדָּנָא"... OK (אגדנא)
[0.6%] #195: "Jastrow, אֲגַדְתָּא"... OK (אגדתא)
[0.7%] #196: "Jastrow, אֵגֶה"... OK (אגה)
[0.7%] #197: "Jastrow, אַגְוָאִי"... OK (אגואי)
[0.7%] #198: "Jastrow, אָגוֹגָא"... OK (אגוגא)
[0.7%] #199: "Jastrow, אֱגוֹד"... OK (אגוד)
[0.7%] #200: "Jastrow, אֲגוּדָּה"... OK (אגודה)
[0.7%] #201: "Jastrow, אֲגוּדָל"... OK (אגודל)
[0.7%] #202: "Jastrow, אֱגוֹז"... OK (אגוז)
[0.7%] #203: "Jastrow, אֱגוּזָא"... OK (אגוזא)
[0.7%] #204: "Jastrow, אֱגוֹזָה"... OK (אגוזה)
[0.7%] #205: "Jastrow, אגוטרי"... OK (אגוטרי)
[0.7%] #206: "Jastrow, *אַגְוִיסְטוֹר"... OK (אגויסטור)
[0.7%] #207: "Jastrow, אֲגוֹמֵין"... OK (אגומין)
[0.7%] #208: "Jastrow, אָגוֹן"... OK (אגון)
[0.7%] #209: "Jastrow, אגונה"... OK (אגונה)
[0.7%] #210: "Jastrow, אָגוּסְטָא"... OK (אגוסטא)
[0.7%] #211: "Jastrow, *אָגוּסְטָאן"... OK (אגוסטאן)
[0.7%] #212: "Jastrow, אגוסטולי"... OK (אגוסטולי)
[0.7%] #213: "Jastrow, אָגוּסְטוֹס"... OK (אגוסטוס)
[0.7%] #214: "Jastrow, אָגוּסְטְיָאנִי"... OK (אגוסטיאני)
[0.7%] #215: "Jastrow, אגוסטלא"... OK (אגוסטלא)
[0.7%] #216: "Jastrow, *אָגוּסְטָלִי"... OK (אגוסטלי)
[0.7%] #217: "Jastrow, אגוסתא"... OK (אגוסתא)
[0.7%] #218: "Jastrow, אָגוּף"... OK (אגוף)
[0.7%] #219: "Jastrow, אֵגוֹר"... OK (אגור)
[0.7%] #220: "Jastrow, אֱגוֹרָא I"... OK (אגורא)
[0.7%] #221: "Jastrow, אֲגוֹרָא II"... duplicate
[0.7%] #221: "Jastrow, *אֲגוֹרָה"... OK (אגורה)
[0.7%] #222: "Jastrow, אֲגוּרֵי"... OK (אגורי)
[0.7%] #223: "Jastrow, אֵגוֹרִי"... duplicate
[0.7%] #223: "Jastrow, אגוריאות"... OK (אגוריאות)
[0.7%] #224: "Jastrow, אגושטוס"... OK (אגושטוס)
[0.7%] #225: "Jastrow, אָגַח"... OK (אגח)
[0.8%] #226: "Jastrow, אַגָּחוּתָא"... OK (אגחותא)
[0.8%] #227: "Jastrow, אגטין"... OK (אגטין)
[0.8%] #228: "Jastrow, אַגְטְרַגְטָא"... OK (אגטרגטא)
[0.8%] #229: "Jastrow, אֻגְיָא"... OK (אגיא)
[0.8%] #230: "Jastrow, אָגִיחַ"... OK (אגיח)
[0.8%] #231: "Jastrow, אָגִיחוּתָא"... OK (אגיחותא)
[0.8%] #232: "Jastrow, אגין"... OK (אגין)
[0.8%] #233: "Jastrow, *אַגֵּין"... duplicate
[0.8%] #233: "Jastrow, אגינו"... OK (אגינו)
[0.8%] #234: "Jastrow, אָגִיס"... OK (אגיס)
[0.8%] #235: "Jastrow, אגיסטון"... OK (אגיסטון)
[0.8%] #236: "Jastrow, אגיסטרין"... OK (אגיסטרין)
[0.8%] #237: "Jastrow, אָגִיר"... OK (אגיר)
[0.8%] #238: "Jastrow, *אגיריסין"... OK (אגיריסין)
  [Saved progress: 238 entries]
[0.8%] #239: "Jastrow, אגיש"... OK (אגיש)
[0.8%] #240: "Jastrow, אִגְלָא"... OK (אגלא)
[0.8%] #241: "Jastrow, אגלווקי"... OK (אגלווקי)
[0.8%] #242: "Jastrow, אֲגָלִים"... OK (אגלים)
[0.8%] #243: "Jastrow, אגלין"... OK (אגלין)
[0.8%] #244: "Jastrow, אַגְלָפוּתָא"... OK (אגלפותא)
[0.8%] #245: "Jastrow, אגלקי"... OK (אגלקי)
[0.8%] #246: "Jastrow, אֲגַם I"... OK (אגם)
[0.8%] #247: "Jastrow, אֲגַם II"... duplicate
[0.8%] #247: "Jastrow, אַגָּם"... duplicate
[0.8%] #247: "Jastrow, אַגַּמָּא"... OK (אגמא)
[0.8%] #248: "Jastrow, אַגְמָא"... duplicate
[0.8%] #248: "Jastrow, אַגְמָא II"... duplicate
[0.8%] #248: "Jastrow, אַגְמָה"... OK (אגמה)
[0.8%] #249: "Jastrow, אַגְמוֹן"... OK (אגמון)
[0.8%] #250: "Jastrow, אַגְמוֹן ²"... duplicate
[0.8%] #250: "Jastrow, אֶגְמוֹן"... duplicate
[0.8%] #250: "Jastrow, אַגְמוֹנָא"... OK (אגמונא)
[0.8%] #251: "Jastrow, אַגָּנָא"... OK (אגנא)
[0.8%] #252: "Jastrow, *אגניטוס"... OK (אגניטוס)
[0.8%] #253: "Jastrow, אגנטין"... OK (אגנטין)
[0.8%] #254: "Jastrow, אגנייה"... OK (אגנייה)
[0.8%] #255: "Jastrow, *אַגְנִינָה"... OK (אגנינה)
[0.9%] #256: "Jastrow, אגניסטור"... OK (אגניסטור)
[0.9%] #257: "Jastrow, אֲגַנְתָּא"... OK (אגנתא)
[0.9%] #258: "Jastrow, אַגָּס"... OK (אגס)
[0.9%] #259: "Jastrow, אגסטון"... OK (אגסטון)
[0.9%] #260: "Jastrow, אגסטרות"... OK (אגסטרות)
[0.9%] #261: "Jastrow, אֶגְסִיטֵרִין"... OK (אגסיטרין)
[0.9%] #262: "Jastrow, אגע"... OK (אגע)
[0.9%] #263: "Jastrow, אָגַף"... OK (אגף)
[0.9%] #264: "Jastrow, אַגָּף"... duplicate
[0.9%] #264: "Jastrow, אֲגַף"... duplicate
[0.9%] #264: "Jastrow, אֲגַפָּא"... OK (אגפא)
[0.9%] #265: "Jastrow, אֲגָפָה"... OK (אגפה)
[0.9%] #266: "Jastrow, אָגַר I"... OK (אגר)
[0.9%] #267: "Jastrow, אֲגַר I"... duplicate
[0.9%] #267: "Jastrow, אָגַר II"... duplicate
[0.9%] #267: "Jastrow, אֲגַר II"... duplicate
[0.9%] #267: "Jastrow, אֲגַר III"... duplicate
[0.9%] #267: "Jastrow, אִגָר"... duplicate
[0.9%] #267: "Jastrow, אַגְרָא II"... OK (אגרא)
[0.9%] #268: "Jastrow, אגרדים"... OK (אגרדים)
[0.9%] #269: "Jastrow, אֲגַרְדְּמִיס"... OK (אגרדמיס)
[0.9%] #270: "Jastrow, אִגְּרוּ"... OK (אגרו)
[0.9%] #271: "Jastrow, אגרוי"... OK (אגרוי)
[0.9%] #272: "Jastrow, אַגְרוֹמֵי"... OK (אגרומי)
[0.9%] #273: "Jastrow, אגרון"... OK (אגרון)
[0.9%] #274: "Jastrow, אַגְרוֹנִימוֹן"... OK (אגרונימון)
[0.9%] #275: "Jastrow, אַגְרוֹנִימוֹס"... OK (אגרונימוס)
[0.9%] #276: "Jastrow, אֶגְרוֹף"... OK (אגרוף)
[0.9%] #277: "Jastrow, אַגְרוּפִּינָא"... OK (אגרופינא)
[0.9%] #278: "Jastrow, *אגרטין"... OK (אגרטין)
[0.9%] #279: "Jastrow, אַגְרִיאוֹן"... OK (אגריאון)
[0.9%] #280: "Jastrow, אגריסטיס"... OK (אגריסטיס)
[0.9%] #281: "Jastrow, אַגְרִיפָּא"... OK (אגריפא)
[0.9%] #282: "Jastrow, אַגְרִיפַּס"... OK (אגריפס)
[0.9%] #283: "Jastrow, אגריקוס"... OK (אגריקוס)
[0.9%] #284: "Jastrow, *אגרמא"... OK (אגרמא)
[0.9%] #285: "Jastrow, אגרנא"... OK (אגרנא)
[0.9%] #286: "Jastrow, אַגְרָס"... OK (אגרס)
[1.0%] #287: "Jastrow, אגרסטיס"... OK (אגרסטיס)
[1.0%] #288: "Jastrow, *אַגְרָפוֹס"... OK (אגרפוס)
[1.0%] #289: "Jastrow, *אִגְּרַת"... OK (אגרת)
[1.0%] #290: "Jastrow, אִגֶּרֶת"... duplicate
[1.0%] #290: "Jastrow, אִגַּרְתָּא"... OK (אגרתא)
[1.0%] #291: "Jastrow, אגש"... OK (אגש)
[1.0%] #292: "Jastrow, אַדְּ־"... OK (אד)
[1.0%] #293: "Jastrow, אֵד"... duplicate
[1.0%] #293: "Jastrow, אָדָא I"... OK (אדא)
[1.0%] #294: "Jastrow, אָדָא II"... duplicate
[1.0%] #294: "Jastrow, *אָדָא III"... duplicate
[1.0%] #294: "Jastrow, אָדָא IV"... duplicate
[1.0%] #294: "Jastrow, אדאני"... OK (אדאני)
[1.0%] #295: "Jastrow, אדבאל"... OK (אדבאל)
[1.0%] #296: "Jastrow, אֶדְבַּע"... OK (אדבע)
[1.0%] #297: "Jastrow, אַדְדָא"... OK (אדדא)
[1.0%] #298: "Jastrow, אדדם"... OK (אדדם)
[1.0%] #299: "Jastrow, אדהי"... OK (אדהי)
[1.0%] #300: "Jastrow, אַדְּהָכִי"... OK (אדהכי)
[1.0%] #301: "Jastrow, אַדְווּתָא"... OK (אדוותא)
[1.0%] #302: "Jastrow, אֲדוּכֵי"... OK (אדוכי)
[1.0%] #303: "Jastrow, אָדוֹם"... OK (אדום)
[1.0%] #304: "Jastrow, אֱדוֹם"... duplicate
[1.0%] #304: "Jastrow, אֱדוֹמִי"... OK (אדומי)
[1.0%] #305: "Jastrow, אָדוֹן"... OK (אדון)
[1.0%] #306: "Jastrow, אֲדוֹנָה"... OK (אדונה)
[1.0%] #307: "Jastrow, אדוניא"... OK (אדוניא)
[1.0%] #308: "Jastrow, אדונקי"... OK (אדונקי)
[1.0%] #309: "Jastrow, אִדּוּר"... OK (אדור)
[1.0%] #310: "Jastrow, אֲדוּרָה"... OK (אדורה)
[1.0%] #311: "Jastrow, אֲדוּרֵי"... OK (אדורי)
[1.0%] #312: "Jastrow, אֲדוּתָא"... OK (אדותא)
[1.0%] #313: "Jastrow, אֲדִי"... OK (אדי)
[1.0%] #314: "Jastrow, אדיא"... OK (אדיא)
[1.0%] #315: "Jastrow, אדיבון"... OK (אדיבון)
[1.1%] #316: "Jastrow, אַדָּיוּתָא"... OK (אדיותא)
[1.1%] #317: "Jastrow, אֲדַיִין"... OK (אדיין)
